Genre,budget,vote_average,release_month,revenue,runtime
 'Adventure',0,5.9,12,0,180
 'Action',0,6.1,5,0,180
 'Drama',1100000,6.2,7,0,180
 'Documentary',0,8.1,10,0,180
 'Romance',0,6.7,12,0,180
 'Drama',0,6.7,11,62000000,180
 'TV Movie',24000000,7.6,7,0,180
 'Romance',0,5.5,7,0,180
 'Adventure',0,5.9,1,0,180
 'Adventure',0,5.7,7,0,180
 'Drama',0,5.9,12,0,180
 'Fantasy',20000000,5.9,11,0,180
 'Action',30000000,5.4,1,0,180
 'Drama',55000000,5,4,0,180
 'Thriller',0,6,12,0,180
 'Action',0,6.7,1,0,180
 'Documentary',0,7.3,10,0,180
 'Documentary',0,6.9,9,238073,180
 'Documentary',0,7.3,12,0,180
,0,8.3,3,0,180
 'Drama',0,6.6,3,0,180
 'Drama',0,5.4,6,0,180
,0,6.9,9,0,180
 'Comedy',0,6.3,5,0,180
 'Family',0,5.3,10,0,180
 'History',0,6.8,3,0,180
 'TV Movie',0,4.9,12,0,180
 'War',6000000,6.9,5,0,180
 'Documentary',0,6.9,10,0,180
 'Fantasy',0,6.3,12,0,180
 'Western',0,4.6,9,0,180
 'Drama',0,6.8,11,0,180
 'Drama',0,4.3,3,0,180
 'Animation',0,6.5,10,0,180
 'Fantasy',0,6.1,12,0,180
,0,6.6,3,0,180
 'Documentary',0,7.3,9,449707,180
 'Drama',0,4.5,4,0,180
 'Drama',18550417,4.9,1,0,180
 'Crime',0,3.5,12,0,180
,19000000,4.9,12,0,180
 'Drama',0,4.8,12,0,180
,0,7,8,0,180
 'Documentary',0,9,12,0,180
,0,7,9,0,180
 'Documentary',7800000,4.7,1,0,180
 'Documentary',0,9,12,0,180
 'Drama',0,4.8,7,0,180
 'Documentary',0,6.7,1,0,180
 'Animation',0,7.8,10,0,180
 'Drama',0,4,6,0,180
 'Drama',0,2,12,0,180
 'Western',0,3,11,0,180
 'TV Movie',0,4,10,0,180
 'Documentary',0,8.5,9,0,180
 'Drama',0,7.3,3,0,180
 'Documentary',0,7,3,0,180
 'Documentary',0,7,9,0,180
,0,6,2,0,180
 'Drama',0,0,1,0,180
,0,0,6,0,180
 'Documentary',0,0,4,0,180
 'Documentary',0,0,10,0,180
 'Documentary',0,0,3,0,180
 'Documentary',0,0,2,0,180
,0,0,9,0,180
 'Adventure',79000000,8,12,926287400,179
 'Romance',4300000,7.2,10,10165694,179
 'Drama',1300000,6.6,10,11000000,179
 'Adventure',0,6.4,10,0,179
 'Action',0,7.4,5,0,179
 'Drama',0,6.7,3,0,179
 'Drama',0,7,2,0,179
 'Foreign',750000,3.5,8,2760000,179
 'Foreign',0,5.4,11,0,179
 'Drama',0,5.3,5,0,179
,0,5,8,0,179
 'Comedy',0,7.5,6,0,179
 'Adventure',93000000,8,12,871368364,178
 'Drama',52000000,7.8,11,116112375,178
 'Fantasy',90000000,6.9,11,142940100,178
 'Crime',10000000,7.6,5,16680836,178
 'Action',10000000,7.3,9,50100000,178
 'Drama',0,7.5,4,2003822,178
 'Action',7100000,7.3,10,0,178
 'Adventure',19000000,6.5,11,13680000,178
 'Crime',0,7.7,10,0,178
 'Science Fiction',15000000,5.6,12,0,178
 'Drama',5000000,5.9,10,0,178
 'Drama',0,6.7,1,0,178
 'History',0,8,10,0,178
 'Drama',0,4.3,4,0,178
 'Crime',0,5.7,5,0,178
 'Drama',0,7.3,10,0,178
 'Action',0,5.3,3,0,178
 'Comedy',0,5.8,5,0,178
 'Drama',0,5,10,0,178
 'Action',300000,7.5,11,0,178
 'Documentary',0,3.3,11,0,178
 'Drama',0,0,12,0,178
,0,0,1,0,178
 'Action',72000000,7.7,5,210000000,177
 'Drama',80000000,6.1,12,17626234,177
 'Adventure',0,7.4,3,0,177
 'War',0,6.5,1,0,177
 'TV Movie',0,6.3,1,0,177
 'Romance',0,5.8,11,0,177
 'Drama',0,6.1,11,0,177
 'Documentary',0,8.1,6,0,177
 'Crime',1500000,8.1,5,0,177
 'Drama',15000000,6.8,10,0,177
 'Drama',0,6.1,5,0,177
 'Drama',0,6,7,0,177
 'Adventure',0,4.6,9,0,177
 'Drama',0,6.7,10,0,177
 'Documentary',0,9,10,0,177
 'Drama',0,2.5,11,0,177
 'War',0,7,5,0,177
 'Drama',0,0,1,0,177
 'Drama',0,7.2,11,0,176
 'Adventure',0,6.3,5,0,176
 'Action',0,6.3,12,0,176
 'Drama',15000000,7.2,10,0,176
 'Horror',0,4,5,0,176
 'Drama',0,6.2,4,0,176
 'Romance',7900000,6.6,2,16000000,176
 'Drama',0,7.1,5,0,176
 'Science Fiction',0,4.6,12,0,176
 'Adventure',12000000,5,4,0,176
 'Drama',14320000,6,7,14000000,176
,0,7.8,2,0,176
 'Drama',7000000,6.1,11,0,176
 'Documentary',0,8.5,4,0,176
 'Drama',6000000,8.5,3,245066411,175
 'Western',5000000,8.1,12,5321508,175
 'War',155000000,5.6,11,167298192,175
 'Drama',22000000,7,6,50750000,175
 'Drama',0,7.1,4,0,175
 'War',0,7.2,10,0,175
 'Action',0,6.6,7,0,175
 'Drama',0,6.9,4,0,175
 'Action',0,6.4,8,0,175
 'Music',8000000,6.9,11,0,175
 'Action',0,5.2,11,0,175
 'Drama',2800000,7.1,1,14000000,175
 'Action',0,6.8,7,0,175
 'Drama',0,7.1,3,0,175
 'Adventure',0,6.7,2,0,175
 'Drama',0,6.6,12,0,175
 'Drama',0,4.6,5,0,175
 'Drama',0,6.6,3,0,175
 'Drama',0,8.2,11,0,175
 'History',21000000,3.9,10,0,175
 'Action',0,6,9,0,175
,0,8.3,2,0,175
 'Comedy',0,4.8,4,0,175
 'Drama',10000000,4,4,0,175
 'Drama',0,0,1,0,175
 'Drama',8200000,7.4,3,286214286,174
 'Comedy',0,7.9,2,19516000,174
 'Action',11097000,6.3,1,49028000,174
 'Drama',23400000,5.6,11,67000000,174
 'Drama',18000000,6.2,9,0,174
 'Drama',0,7.9,1,0,174
 'TV Movie',0,6.2,4,0,174
 'Drama',0,5.8,12,0,174
 'Drama',0,7.7,5,0,174
 'Action',0,7.4,7,0,174
 'Drama',0,7.5,3,0,174
 'Action',0,6.2,1,0,174
 'Drama',0,6.2,10,0,174
 'Drama',0,4.8,5,0,174
 'Fantasy',0,6,12,0,174
 'Comedy',0,7.6,12,0,174
 'Action',0,5.3,9,0,174
 'Drama',0,5.1,11,0,174
 'Action',0,6,11,0,174
 'Action',0,5,11,0,174
 'Documentary',0,10,6,0,174
,0,0,1,0,174
 'Romance',0,0,2,0,174
 'Drama',0,7.7,9,0,173
 'Action',13000000,6.3,11,0,173
 'Action',21000000,5.9,9,0,173
 'Action',35000000,7.5,4,0,173
 'Adventure',0,4.5,11,0,173
 'Crime',0,7.7,6,0,173
 'Action',0,5.2,6,0,173
 'Drama',1488410,7.8,8,0,173
 'Action',0,4.8,4,0,173
,0,5.4,7,0,173
 'Action',0,5.5,1,0,173
 'Drama',0,7.8,11,0,173
 'Drama',0,7.7,1,0,173
,0,5.7,7,0,173
 'Comedy',0,7.9,5,0,173
 'Action',0,4,9,0,173
 'Drama',0,6.7,11,0,173
 'Romance',0,7,1,0,173
 'Action',0,5,2,0,173
 'Drama',102000000,6.6,10,130482868,172
 'Adventure',4000000,7.8,6,11744471,172
 'Drama',12000000,7.3,1,89800000,172
 'Drama',2100000,7.6,12,23650000,172
 'Action',19500000,6,12,91000000,172
 'Drama',0,5.9,10,0,172
 'Fantasy',1934000,6.3,2,3786801,172
 'Drama',7400000,7.4,5,1300000,172
 'Action',0,4.9,9,0,172
 'Science Fiction',0,3.1,9,0,172
 'Drama',0,7.3,4,0,172
 'Drama',0,6.8,2,0,172
 'Comedy',0,5.8,6,0,172
 'Comedy',0,4.8,5,0,172
 'Drama',0,4.1,7,0,172
 'Action',0,6.6,8,0,172
 'Drama',0,5.1,2,1458709,172
 'Drama',0,6.9,6,0,172
 'Drama',0,5.5,4,0,172
 'Fantasy',0,4.8,12,0,172
 'Foreign',0,4,7,0,172
,0,6,11,0,172
 'Drama',0,7,5,0,172
,0,0,1,0,172
 'Drama',0,7.8,9,0,171
 'Documentary',700000,7.7,9,7830611,171
 'Comedy',17000000,7,2,10006806,171
 'Drama',0,6.6,10,0,171
 'Drama',8250000,7,11,30000000,171
 'Drama',0,6.4,8,0,171
 'Drama',0,5.6,2,0,171
 'Comedy',0,6.5,7,0,171
 'Science Fiction',20000000,3.6,7,5000000,171
 'Drama',0,7.4,8,0,171
,0,7,2,0,171
 'Drama',0,6.5,3,0,171
 'Drama',0,0,5,0,171
 'Action',25000000,8,12,65884703,170
 'Action',60000000,7.7,12,187436818,170
 'Drama',116000000,7,12,102000000,170
 'Drama',9000000,7.8,12,70000000,170
 'Drama',52000000,7.2,12,98126565,170
 'Fantasy',9000000,8.1,10,0,170
 'Drama',17000000,7.4,10,72070731,170
 'Drama',60000000,6.7,5,186883563,170
 'War',14000000,7.5,4,0,170
 'Comedy',9100000,7.2,11,37707444,170
 'Drama',10400000,7,7,102000000,170
 'Drama',13000000,6.7,6,22000000,170
 'Drama',3000000,6.1,7,0,170
 'Drama',7000000,6.7,2,1310673,170
 'Thriller',0,5.8,6,0,170
 'Thriller',16000000,6.8,1,0,170
 'Thriller',3500000,6.5,7,0,170
 'Romance',0,7.3,2,0,170
 'Drama',0,6.7,10,0,170
 'Drama',0,5.7,8,0,170
 'Adventure',0,5.7,1,0,170
 'History',0,4.9,1,0,170
 'Action',0,4.4,11,0,170
 'Action',14000000,3.7,4,0,170
 'Action',1600000,7.3,8,0,170
 'Adventure',0,5.8,4,0,170
 'Drama',18000000,5.2,8,0,170
 'Drama',0,5,3,0,170
,0,6.9,6,0,170
 'Drama',0,8.7,4,0,170
 'Documentary',0,8,9,0,170
 'Action',0,5.9,10,0,170
 'Drama',1000000,6.1,9,623791,170
 'Drama',0,5.8,11,0,170
 'Drama',1333333,5.6,8,5333333,170
 'Action',7,6.8,11,0,170
 'War',0,5.4,1,0,170
 'Crime',0,7.4,3,0,170
 'Comedy',0,7.5,1,0,170
 'Drama',0,7.5,2,0,170
 'Comedy',0,4.8,9,0,170
 'Action',0,5,9,0,170
 'Drama',0,6.7,1,0,170
,0,8,4,0,170
 'Documentary',0,7.5,11,0,170
 'Action',0,6,5,0,170
,4000000,8,5,0,170
 'Drama',0,0,11,0,170
 'Adventure',165000000,8.1,11,675120017,169
 'Adventure',250000000,7,11,1021103568,169
 'Drama',70000000,7.9,7,481840909,169
 'Adventure',300000000,6.9,5,961000000,169
 'Drama',0,4.9,3,0,169
 'Action',0,5.2,11,0,169
 'Documentary',0,7.1,9,0,169
 'Drama',3000000,7.5,11,14000000,169
 'Drama',0,7.3,5,0,169
 'Action',0,6.6,9,0,169
 'Comedy',0,5.2,6,0,169
 'Fantasy',0,7.4,12,0,169
 'Drama',0,7.4,11,0,169
 'Romance',0,8.1,3,0,169
 'Drama',0,6.7,12,0,169
 'Foreign',7400000,6.3,11,22000000,169
 'Romance',0,6,10,0,169
 'Crime',0,0,4,0,169
 'Adventure',0,7.6,5,0,168
 'Drama',9500000,7.7,5,12250,168
 'Crime',0,7.9,,0,168
 'Thriller',0,6.1,9,0,168
 'Action',5300000,6.7,5,22175908,168
 'Drama',5037000,7.2,10,14483352,168
 'TV Movie',10000000,5.3,3,0,168
 'Action',0,4.3,5,0,168
 'Drama',5000000,5.2,12,0,168
 'Action',0,6.5,1,17000000,168
 'Action',16000000,6.6,10,98900000,168
 'Comedy',0,6,11,0,168
 'Drama',0,6.1,7,0,168
 'Romance',0,7.8,1,0,168
 'Action',11340000,6.4,10,0,168
 'Drama',0,6,9,0,168
 'Drama',0,6,5,0,168
 'Romance',0,9,1,0,168
 'Drama',10000000,5,3,0,168
 'Drama',10000000,5,3,0,168
 'Drama',0,6,3,0,168
 'Drama',0,10,4,0,168
 'Crime',44000000,7.6,12,155760117,167
 'Drama',100000000,7.1,12,193772504,167
 'Drama',0,7.7,3,0,167
 'Drama',85000000,6.3,12,59908565,167
 'Adventure',6000000,6.5,10,42000000,167
 'Comedy',0,6.7,12,0,167
 'Action',12000000,6.5,10,7900000,167
 'Drama',0,6.4,4,0,167
 'Drama',0,7.3,8,0,167
 'Comedy',0,6.2,6,0,167
 'Action',0,6.4,4,0,167
 'Documentary',0,7.6,11,0,167
 'Drama',0,5.9,11,0,167
 'War',0,6.3,3,0,167
 'Drama',0,6.1,6,0,167
 'War',12003848,7,2,0,167
 'Drama',0,5.7,11,0,167
 'Documentary',0,6,9,0,167
 'Documentary',0,4.8,6,0,167
 'Science Fiction',0,4.5,7,0,167
 'Drama',0,5,12,0,167
 'Drama',0,5,1,0,167
 'Fantasy',150000000,7.3,11,333932083,166
