Genre,budget,vote_average,revenue,runtime
'Action',92000000,6.6,449326618,115
'Action',160000000,6,378827494,118
'Action',160000000,8.1,825532764,148
'Science Fiction',130000000,7,276921998,117
'Drama',70000000,6.4,543934787,144
'Action',200000000,7.5,374218673,140
'Action',65000000,7.7,789804554,141
'Action',30000000,7.6,414351546,130
'Adventure',380000000,6.4,1045713802,136
'Action',149000000,6.2,295238201,119
'Action',200000000,6.6,108782847,104
'Action',178000000,5.9,890871626,139
'Drama',150000000,5.4,240697856,115
'Animation',150000000,5.2,126069509,97
'Adventure',63000000,7.3,1506249360,137
'Action',180000000,7.5,1845034188,194
'Action',250000000,7,519311965,117
'Action',170000000,7.6,83258226,118
'Action',120000000,6.6,653428261,137
'Drama',15000000,7.5,562816256,92
'Action',200000000,6.5,705717432,142
'Drama',21000000,6.7,531865000,116
'Science Fiction',178000000,6.1,829000000,115
'Comedy',50000000,7.5,747862775,131
'Adventure',85000000,7.7,1023784195,108
'Action',30000000,5.8,712171856,117
'Family',200000000,6.7,157100845,88
'Adventure',32350000,8,381109762,116
'Animation',185000000,7.6,630161890,141
'Action',28000000,7.6,940335536,100
'Comedy',30000000,7.4,847423452,146
'Animation',76000000,6.3,30523226,116
'Family',74000000,7.7,180949000,111
'Animation',200000000,6,362000072,100
'Comedy',60000000,7.9,1342000000,130
'Drama',18000000,6.3,880674609,148
'Family',165000000,7.5,895921036,157
'Comedy',30000000,7,970761885,98
'Adventure',250000000,7.3,263920180,126
'Adventure',300000000,7.3,1274219009,102
'Fantasy',180000000,7.9,857611174,94
'War',58800000,6.6,415885488,124
'Science Fiction',150000000,6,271430189,102
'Horror',11000000,7.2,459270619,100
'Action',54000000,6.8,1215439994,130
'Drama',13000000,7.2,103911669,103
'Action',245000000,7.3,532950503,156
'Crime',19000000,7.5,377350553,84
'Adventure',115000000,7.9,104931801,117
'Action',90000000,7.5,954305868,146
'Science Fiction',170000000,7,1021103568,169
'Drama',40000000,6.3,142337240,124
'Animation',150000000,5.5,255273813,99
'Action',190000000,6,89328627,86
'Horror',9000000,7.9,457640427,155
'Drama',90000000,7.3,599045960,144
'Thriller',93000000,7.1,205843612,78
'Action',25000000,7.7,520000000,137
'Drama',22000000,7.9,68700000,149
'Action',200000000,5.8,477200000,101
'Crime',44000000,6.2,209154322,130
'Drama',3300000,7.1,543513985,95
'Adventure',200000000,7.4,631442092,115
'Fantasy',165000000,6.5,356613439,138
'Thriller',16000000,6.5,373552094,92
'Action',100000000,7.3,295212467,107
'Action',200000000,7.4,585174222,126
'Action',190000000,7.4,33754967,102
'Action',225000000,6.7,474968763,115
'Romance',23000000,7.7,373554033,81
'Action',6400000,6.2,254455986,102
'Science Fiction',113000000,7.7,183316455,137
'Adventure',60000000,7.9,481840909,169
'Adventure',75000000,7.5,168167691,123
'Mystery',9000000,8,788241776,89
'Fantasy',60000000,6.9,288747895,139
'Action',42000000,7.7,152159461,136
'Adventure',110000000,5.2,183987723,124
'Action',160000000,7.4,938212738,138
'Adventure',150000000,7.5,429632142,143
'Action',120000000,7.6,38697217,117
'Adventure',150000000,6.3,400062763,125
'Adventure',120000000,7.7,201634991,147
'Action',30000000,7.6,304320254,88
'War',68000000,5.6,243637091,105
'Action',145000000,7.3,214034224,119
'Action',28000000,7.8,175302354,140
'Animation',120000000,7.7,307077295,117
'Adventure',125000000,6.1,107670357,108
'Fantasy',15000000,5.9,435000000,109
'Adventure',90000000,7.7,210000000,177
'Animation',59000000,7.9,356296601,122
'Adventure',18000000,7.1,358372926,145
'Adventure',150000000,6.6,343471816,122
'Adventure',40000000,7.6,958400000,161
'Adventure',110000000,6.6,95708457,121
'Drama',52000000,6.3,39407616,102
'Animation',90000000,7.6,1084939099,165
'Horror',19000000,6,470490832,114
'Action',120000000,7.5,623722818,111
'Thriller',27000000,8.2,45284974,110
'Drama',105000000,7.2,288500217,108
'Romance',12000000,6.6,14674076,100
'Thriller',85000000,7.6,155760117,167
'Comedy',80000000,6.9,1108561013,143
'Science Fiction',28000000,6.7,303144152,116
'Drama',15000000,6.7,356830601,110
'Crime',1200000,7.7,132511035,132
'Action',250000000,5.6,408579038,100
'Drama',20000000,6.8,632443719,108
'Adventure',150000000,6.9,691210692,142
'Science Fiction',20000000,5.2,81093313,91
'Fantasy',20000000,8.2,284600000,189
'Adventure',37000000,6.2,591739379,116
'Fantasy',258000000,8.1,235860116,129
'Science Fiction',155000000,7.7,389925971,115
'Comedy',23600000,7.7,352114312,141
'Comedy',20000000,6.7,543514353,105
'Action',60000000,7.8,425368238,165
'Animation',200000000,6.6,550000000,187
'Adventure',210000000,7.5,470654000,124
'Fantasy',200000000,7.9,445435700,128
'Fantasy',6000000,6.8,222809600,106
'Adventure',110000000,6.3,549368315,106
'Animation',75000000,8.1,44017374,144
'Action',92000000,5.6,243400000,99
'Action',40000000,7.3,456758981,154
'Science Fiction',115000000,6.1,349424282,97
'Adventure',150000000,6.6,260095987,112
'Animation',28000000,7.2,84025816,121
'Drama',40000000,8.2,538400000,124
'Action',38000000,7,758539785,97
'Crime',8500000,5.5,330579719,106
'Drama',44500000,7.3,792965326,115
'Adventure',150000000,7.8,16491080,93
'Science Fiction',30000000,7.8,735099082,96
'Drama',15000000,6.6,370569774,124
'Science Fiction',2200000,7.4,78371200,108
'Animation',260000000,6.6,299268508,127
'Drama',13000000,7.4,542307423,133
'Action',72000000,6.7,371940071,107
'Comedy',10000000,5.9,415484914,123
'Drama',15000000,6.1,163712074,114
'Fantasy',150000000,7,411348924,126
'Crime',50000000,7.3,84785914,157
'Action',90000000,7.4,933959197,153
'Science Fiction',10500000,6.6,623933331,124
'Action',195000000,5.9,546388105,123
'Drama',40000000,6.4,347451894,131
'Drama',6000000,7.2,29252978,116
'Action',75000000,6.6,461983149,117
'Family',75000000,5.7,128905366,123
'Adventure',90000000,6.6,240031094,124
'Drama',40000000,7.3,355237933,140
'Fantasy',50000000,5.8,396600000,127
'Horror',18500000,7.6,714766572,136
'Action',150000000,7,334615000,129
'Action',160000000,6.5,767820459,149
'Adventure',130000000,6.5,662845518,143
'Mystery',40000000,7.9,289847354,151
'Adventure',48000000,6.6,48428063,79
'Adventure',90000000,7.3,716392705,91
'Drama',110000000,7.3,98235548,107
'Drama',25000000,5.8,1091405097,165
'Comedy',35000000,6.8,269994119,110
'Science Fiction',150000000,7.1,145771527,85
'Action',140000000,6.2,335154643,116
'Adventure',170000000,8.1,327311859,127
'Drama',46000000,7.7,672806292,107
'Drama',33000000,5.8,82394288,100
'Horror',13000000,5.9,179246868,121
'Romance',29000000,6.4,235483004,95
'Fantasy',145000000,5.7,220021259,121
'Action',185000000,7.7,1270522,113
'Adventure',150000000,7,238470033,96
'Action',61000000,6.1,203277636,130
'Adventure',15000000,8,28000000,128
'Science Fiction',210000000,7.5,138530565,120
'Adventure',60000000,7.4,103215094,119
'Crime',49000000,7.7,20117339,147
'Fantasy',19000000,7.3,442824138,115
'Fantasy',80000000,8.2,23875127,119
'Drama',20000000,6.7,748806957,143
'Drama',60000000,7,422610419,117
'Science Fiction',150000000,6.1,325771424,109
'Crime',25000000,6.9,70016220,122
'Adventure',150000000,5.8,367275019,90
'Science Fiction',10500000,7.3,484409218,90
'Drama',13000000,6.8,131282949,108
'Comedy',37000000,7.3,333932083,166
'Fantasy',150000000,7.7,187436818,170
'Action',110000000,5.5,346147658,107
'Crime',60000000,8.2,36764313,112
'Adventure',130000000,7.2,83719388,141
'Action',100000000,7.3,117698894,115
'Animation',80000000,7.1,682330139,131
'Drama',102000000,7.6,75634409,76
'Romance',25000000,7.1,82719885,113
'Action',25000000,6.7,816969268,145
'Action',110000000,7.1,192330738,132
'Adventure',200000000,7.5,53000000,105
'Action',70000000,7.3,351040419,143
'Drama',3000000,5.6,140705322,83
'Comedy',15000000,7.3,497366869,92
'Thriller',55000000,7.2,222300000,83
'Comedy',7500000,6.7,966550600,106
'Comedy',103000000,7.1,383257136,81
'Adventure',40000000,5.6,362211740,119
'Mystery',5000000,5.9,140795793,125
'Thriller',80000000,6.4,1025491110,108
'Family',175000000,7.1,96188903,117
'Drama',5000000,6,164602163,114
'Thriller',10000000,6.8,97009150,103
'Action',110000000,4.4,167977596,100
'Action',100000000,7.1,136766062,162
'Action',70000000,8.2,159375308,134
'Thriller',40000000,5.3,229147509,116
'Drama',15000000,6.2,159773545,114
'Action',39200000,8,26589000,136
'Adventure',190000000,8,140302754,118
'Adventure',170000000,7.2,311950384,104
'Action',130000000,6.3,155010032,117
'Drama',10000000,4.2,238207122,125
'Action',75000000,5.8,64188367,97
'Drama',40000000,6.9,262797249,104
'Action',58000000,4.9,389681935,120
'Adventure',28000000,7.1,224920315,120
'Adventure',175000000,7.6,1066969703,103
'Drama',6000000,6,433013274,130
'Drama',15000000,8,109676311,130
'Science Fiction',176000003,6.9,631744560,90
'Adventure',230000000,7.9,319131050,153
'Adventure',80000000,6.8,363258859,95
'Drama',16400000,7,87404651,77
'Action',45000000,6.3,71561644,114
'Action',125000000,7.8,19629760,109
'Thriller',125000000,7.8,230698791,127
'Comedy',18000000,8.1,6000000,161
'Action',40000000,7.2,329803958,104
'Thriller',32000000,6.1,441818803,88
'Drama',20000000,6.2,177238796,117
'Action',110000000,5.6,769653595,158
'Drama',4000000,6.4,574480841,108
'Animation',95000000,6.5,660940780,91
'Action',100000000,7.5,140767956,131
'Adventure',180000000,7.3,124596398,100
'Horror',35000000,7.2,126690726,109
'Action',130000000,6.3,403170142,124
'Comedy',28000000,6.7,267045765,97
'Adventure',80000000,7,185258983,163
'Science Fiction',125000000,7.9,5879736,119
'Horror',97000000,5.9,371353001,115
'Drama',20000000,8.2,1000000,96
'Adventure',18000000,7,572000000,75
'Action',102000000,6.8,251171807,138
'Adventure',130000000,6.8,86234523,114
'Adventure',120000000,5.8,198802074,121
'Action',185000000,7.5,469160692,100
'Action',195000000,7.3,39673162,154
'Thriller',40000000,6.3,215394738,108
'Crime',1300000,7.9,392000694,180
'Horror',7000000,7.2,60722734,95
'Adventure',110000000,6.1,376141306,91
'Animation',85000000,7.4,76586316,131
'Drama',55000000,7.2,226830568,93
'Drama',17000000,7.4,504050219,90
'Action',65000000,5.6,268031828,150
'Romance',50100000,6.2,215529201,92
'Action',75000000,8.1,23341568,106
'Science Fiction',130000000,6.6,211643158,144
'Action',88000000,5.7,94073028,102
'Adventure',185000000,7.6,307166834,125
'Fantasy',22000000,7,743559607,104
'Adventure',200000000,6.9,184925486,83
'Romance',23000000,6.8,358375603,91
'Action',165000000,6.7,919838758,93
'Action',110000000,6.7,738599701,138
'Action',140000000,6.8,34441873,122
'Action',125000000,5.9,122444772,89
'Thriller',15000000,7,121463226,113
'Adventure',73000000,6.6,532680671,86
'Crime',4500000,8.2,234710455,119
'Comedy',68000000,7.8,521311860,98
'Comedy',50000000,8.2,426480871,112
'Drama',30000000,7,62788218,116
'Adventure',50000000,6,171757863,83
'Science Fiction',3000000,6,146497771,100
'Action',200000000,6.4,136621271,104
'Thriller',50000000,6.8,215294342,165
'Action',55000000,7.8,46189568,117
'Action',125000000,6.4,484572835,101
'Action',180000000,5.8,331957105,103
'Comedy',18000000,6.7,538983207,93
'Horror',4000000,6.8,287506194,115
'Thriller',90000000,5.7,274703340,100
'Science Fiction',29500000,7.8,294804195,138
'Action',30000000,8,23217674,119
'Action',125000000,7.1,333000000,118
'Comedy',18000000,6.7,457696359,110
'Drama',31000000,7,110206216,133
'Adventure',135000000,7.4,467365246,132
'Horror',70000000,6.9,589390539,98
'Action',110000000,6.8,215880014,79
'Comedy',30000000,6.5,478207520,120
'Action',85000000,6.5,397850012,126
'Romance',95000000,7,524028679,128
'Adventure',65000000,7.1,194564672,121
'Drama',125000000,6.4,924317558,136
'Drama',806948,6.1,101371017,106
'Adventure',207000000,5.3,162146076,118
'Comedy',17000000,8.1,5321508,175
'Adventure',132000000,6.3,309979994,98
'Action',32000000,5.9,162000000,109
'Action',120000000,7.7,171600000,122
'Action',120000000,7.2,116766556,106
'Comedy',150000000,8.1,39723096,113
'Adventure',68000000,7.6,23159305,86
'Action',50000000,8.2,46836394,145
'Adventure',120000000,7.8,56255142,148
'Adventure',150000000,5.3,245360480,138
'Western',1200000,5.9,413106170,105
'Animation',75000000,5.4,169837010,110
'Action',255000000,6.3,152925093,92
'Romance',14600000,7.4,78054825,100
'Comedy',11000000,6.9,497409852,163
'Adventure',90000000,6.4,424988211,129
'Fantasy',160000000,7.4,385680446,127
'Science Fiction',110000000,6.9,25836616,108
'Drama',100000000,7.7,115603229,123
'Comedy',35000000,6.4,286140700,109
'Drama',55000000,7.8,52287414,89
'Action',44000000,7.6,30857814,98
'Thriller',100000000,6.9,366101666,128
'Animation',125000000,6.7,74952305,92
'Animation',75000000,7.3,112544580,125
'Animation',90000000,7.4,102272727,139
'Action',160000000,6.4,105173115,111
'Action',120000000,5.9,384335608,108
'Thriller',75000000,7.9,225933435,126
'Horror',30000000,6.2,544272402,124
'Comedy',7500000,6.5,131183530,120
'Comedy',17000000,5.8,205754447,99
'Drama',38000000,6,98450062,94
'Adventure',19000000,7.2,158733820,124
'Romance',35000000,6.6,280000000,126
'Comedy',75000000,7.1,85241496,96
'Action',50000000,6.6,196397415,111
'Action',25000000,6.4,53302314,98
'Comedy',8000000,8.2,30641770,130
'Adventure',125000000,5.5,362637473,139
'Fantasy',66000000,6.6,180557550,126
'Action',28000000,7.1,193772504,167
'Mystery',19000000,6.2,53181600,113
'Adventure',98000000,7.5,30039392,99
'Horror',1200000,7.4,318000141,112
'Crime',12000000,6,276572938,120
'Adventure',115000000,5.9,150962475,119
'Thriller',48000000,6.4,383531464,128
'Animation',90000000,6.1,312573423,103
'Action',80000000,5,31724284,94
'Action',144000000,7.5,109423648,129
'Adventure',170000000,6.6,66486080,95
'Comedy',1000000,8.1,120072577,150
'Action',60000000,7.8,269958228,116
'Thriller',150000000,7.6,474171806,127
'Drama',25000000,7.9,55198285,117
'Action',200000000,7.2,135560026,127
'Action',260000000,7.2,125212904,93
'Thriller',110000000,7.5,117235147,119
'Comedy',82500000,7,320170008,134
'Comedy',75000000,6.8,585178928,98
'Comedy',20000000,6,274470394,103
'Fantasy',35000000,6.1,206172544,127
'Thriller',209000000,7.6,122919055,125
'Comedy',12000000,6.7,521170825,95
'Fantasy',18000000,6.6,352194034,130
'Drama',350000,7.4,591794936,100
'Science Fiction',18000000,6.9,248118121,106
'Thriller',7000000,6.1,284139100,132
'Action',110000000,7.1,108145109,116
'Action',110000000,6.8,1600000,64
'Thriller',125000000,6.4,286168572,124
'Crime',44000000,7.8,88346473,128
'Drama',76000000,6.5,299370084,113
'Science Fiction',13000000,7.9,572700000,135
'Drama',31500000,6.9,87416021,97
'Action',30000000,7.7,4439431,102
'Adventure',93000000,6.3,118034273,111
'Drama',60000000,6.1,12342632,112
'Horror',33000000,6.7,300854823,144
'Adventure',130000000,7,205738714,122
'Action',90000000,6.8,1028570889,97
'Animation',135000000,7.7,216763646,132
'Drama',55000000,6.5,130786397,113
'Animation',90000000,8,174600318,99
'Animation',200000000,7.8,121147947,135
'Action',76000000,6.8,263591415,74
'Action',34000000,6.7,347234916,115
'Crime',7000000,6.3,144056873,119
'Crime',65000000,6.8,108286421,103
'Adventure',95000000,7.5,494878759,98
'Thriller',42000000,6.7,121214377,129
'Science Fiction',38000000,6.6,157107755,118
'Adventure',70000000,6,231449203,103
'Adventure',110000000,7,37279439,134
'Adventure',150000000,7.2,171120329,150
'Action',163000000,6.2,90565421,130
'Fantasy',25000000,6.4,77278331,117
'Fantasy',24000000,6.9,527068851,87
'Fantasy',30000000,6,35931410,128
'Drama',8000000,5.3,125729635,99
'Adventure',26500000,7.4,61503218,114
'Crime',85000000,6.8,51000000,75
'Adventure',150000000,6.4,305875730,100
'Comedy',165000000,6.8,694713380,133
'Comedy',26000000,5.2,401128639,112
'Horror',40000000,6.9,95696996,124
'Drama',100000000,6,381509870,94
'Drama',4000000,7.1,232324128,120
'Horror',9000000,6.9,84300000,88
'Action',80000000,6.7,122915111,115
'Drama',3000000,6.6,330444045,108
'Drama',12000000,7.3,65046687,111
'Comedy',29000000,5.5,183018522,106
'Science Fiction',75000000,7.2,93617009,116
'Adventure',38000000,7.6,36869414,108
'Drama',22500000,6.6,351583407,101
'Adventure',175000000,6.7,86758912,126
'Fantasy',145000000,7.4,69959751,109
'Comedy',60000000,8.1,28262574,114
'Adventure',100000000,7.1,219417255,128
'Fantasy',1488423,6.1,237202299,118
'Action',50000000,6.4,649398328,142
'Science Fiction',5500000,6,798958165,93
'Animation',130000000,7.3,252712101,93
'Adventure',125000000,7,185770160,126
'Drama',25000000,7.2,609016565,127
'Science Fiction',15000000,7.1,213954274,100
'Drama',100000000,6.7,194168700,136
'Drama',37000000,6.9,142940100,178
'Horror',58000000,6.1,529076069,123
'Romance',40000000,7.7,83557872,103
'Adventure',140000000,6.6,176070171,110
'Horror',45000000,5.1,219851172,114
'Action',60000000,5.7,46216641,118
'Drama',140000000,7.9,46357676,116
'Drama',4000000,7.9,10462500,102
'Drama',35000000,7.9,47351251,126
'Comedy',35000000,6.4,746921274,93
'Animation',150000000,5.9,162360636,132
'Drama',61000000,7.2,47664559,112
'Animation',40000000,5.9,89792502,110
'Action',70000000,7.6,95000000,134
'Comedy',40000000,6.5,249348933,115
'Action',150000000,7.2,165478348,141
'Comedy',16000000,6.8,267447150,70
'Horror',2000000,7.1,471222889,108
'Adventure',127000000,7.2,25504513,91
'Drama',2000000,5.8,559852396,106
'Action',60000000,7.4,179213434,127
'Fantasy',70000000,7.4,332000000,108
'Drama',15000000,6.2,119100758,86
'Comedy',70000000,7.3,34266564,102
'Family',150000000,6.1,586090727,106
'Action',44000000,7.3,104876233,122
'Drama',25000000,8,89460381,153
'Comedy',40000000,6.3,60700000,103
'Animation',145000000,6.8,100138851,91
'Adventure',85000000,5.8,42930462,112
'Drama',3300000,7.4,80573774,121
'Thriller',36000000,6,73762516,105
'Drama',1000000,7.2,441809770,157
'Action',60000000,8,0,86
'Drama',100000000,6.6,130482868,172
'Crime',45000000,6.4,74679822,119
'History',140000000,7.1,53000000,102
'Action',92000000,6.9,155160045,128
'Science Fiction',5000000,7,217764291,120
'Drama',4000000,6.8,368871007,94
'Action',90000000,5.7,146936910,106
'Crime',9900000,6.7,25037897,113
'Action',69000000,7.3,184376254,129
'Adventure',40000000,6.1,498814908,97
'Comedy',20000000,6.3,368100420,118
'Horror',5000000,7,463000000,119
'Action',30000000,5.2,150680864,127
'Action',126000000,7.6,9760104,97
'Thriller',23000000,6.6,131940411,109
'Romance',14000000,7,173046663,111
'Crime',60000000,5.2,336529144,121
'Adventure',55000000,6.3,358991681,120
'Animation',100000000,5.4,391081192,154
'Animation',150000000,6.7,346079773,81
'Family',4000000,6.2,877244782,88
'Comedy',65000000,7.1,162091208,159
'Action',130000000,6.9,235666219,120
'Adventure',175000000,6.6,104478416,109
'Family',170000000,6.9,335062621,136
'Horror',1500000,6.8,235926552,146
'Drama',100000000,6.5,553799566,151
'Drama',16000000,6.6,43928932,92
'Comedy',16000000,6.5,99318987,122
'Drama',25000000,6.5,163720069,96
'Family',2900000,6.5,121790373,107
'Thriller',110000000,7,120207127,110
'Horror',17000000,6.1,118587880,105
'Action',85000000,7.1,850000000,140
'Comedy',80000000,7.8,264118201,103
'Action',65000000,7.3,133346506,130
'Drama',50000000,7.7,23057115,140
'Action',100000000,5.5,303025485,131
'Comedy',55000000,7,326551094,109
'Adventure',400000,6.6,119520023,124
'Animation',85000000,7,154026136,125
'Thriller',110000000,5.5,156505388,117
'Comedy',65000000,7.1,244527583,118
'Action',15000000,7.3,96060858,113
'Comedy',40000000,6.9,93600000,76
'Fantasy',0,7.4,70906973,101
'Action',19000000,7.3,327803731,108
'Comedy',8000000,6.5,886686817,94
'Action',21000000,6.7,250649836,132
'Thriller',40000000,6.4,101134059,124
'Comedy',70000000,7.1,261317921,113
'Horror',48000000,6,260696994,91
'Adventure',150000000,5.4,289047763,92
'Horror',0,7.2,117195061,77
'Romance',6000000,7.9,72258126,108
'Action',92000000,6.1,337580051,102
'Action',100000000,7.5,12532777,106
'Action',80000000,6.5,64238440,100
'Drama',38000000,7.8,173921954,122
'Comedy',16000000,6.6,325233863,96
'Action',50000000,6.4,170764026,85
'Drama',12000000,6.1,457363168,124
'Comedy',32500000,6,278731369,103
'Comedy',58000000,7.5,75026965,135
'Adventure',2777000,6.7,209073645,108
'Drama',15000000,6.3,218340595,130
'Drama',15000000,7.7,33400000,102
'Action',50000000,5.9,261930431,109
'Fantasy',50000000,7.2,309208309,129
'Adventure',90000000,5.9,89289910,149
'Comedy',15000000,6.6,47042000,118
'Science Fiction',50200000,7.5,70136369,103
'Drama',41000000,5.8,277448382,124
'Action',40000000,7,32017803,107
'Drama',152000000,5.9,193355800,86
'Horror',160000000,6.5,158674180,117
'Comedy',1350000,6.3,167805466,98
'Crime',45000000,6.9,5359645,107
'Adventure',225000000,6.7,3396726,91
'Comedy',35000000,6.2,603900354,89
'Action',45000000,6,300257475,132
'Science Fiction',50000000,5.6,171183863,101
'Action',82000000,6.3,96455697,98
'Comedy',0,7.8,51525171,97
'Fantasy',40000000,6.6,42931041,88
'Action',60000000,7.7,60611975,98
'Action',60000000,7,99206215,98
'Horror',19000000,7.6,156822020,138
'Adventure',4000000,6.6,71664962,111
'Comedy',50000000,5.7,786636033,122
'Comedy',25000000,6.3,433677183,123
'Drama',52000000,7.2,37589296,102
'Comedy',20000000,6.1,170432927,107
'Romance',6000000,5.9,215283742,109
'Action',145000000,6.6,125537191,114
'Fantasy',11000000,6.4,111340801,106
'Horror',15000000,6.3,419651413,150
'Drama',29000000,6.8,77712439,110
'Drama',72000000,7.4,170877916,143
'Comedy',12000000,6.6,145000000,84
'Drama',60000000,6.4,66980456,94
'Horror',17000000,5.2,304654182,98
'Action',35000000,6.4,258270008,110
'Action',65000000,7.1,448000000,88
'Comedy',18000000,6,278019771,88
'Romance',23000000,8.1,35401758,117
'Science Fiction',47000000,7.3,71868327,106
'Action',80000000,6.2,415686217,113
'Animation',75000000,7.3,91709827,123
'Horror',3000000,5.9,156974557,103
'Action',61000000,6.1,160112671,88
'Drama',30000000,7.4,83282296,124
'Action',50000000,6.6,331926147,93
'Thriller',25000000,6.9,0,85
'Action',43000000,7.2,169327687,78
'Action',105000000,7.4,168840000,129
'Crime',54000000,7.6,609123048,102
'Adventure',130000000,8.1,14661007,99
'Romance',80000000,5.2,117831631,105
'Horror',6500000,7.4,41954997,127
'Adventure',105000000,6.5,311312624,122
'Action',20000000,6.6,41037742,95
'Action',70000000,7.5,441306145,122
'Action',117000000,7.1,161849455,105
'Drama',25000000,7.2,450717150,116
'Comedy',12000000,7.3,53478166,97
'Drama',5000000,6.4,97542952,91
'Comedy',42000000,5.6,232713139,106
'Action',115000000,7.2,223664608,123
'Drama',137000000,7.9,122126687,153
'Adventure',5000000,6.9,505000000,127
'Crime',8000000,7.7,313542341,135
'Adventure',19000000,6.5,160388063,120
'Adventure',70000000,7.4,38869464,119
'Action',66000000,6.4,268426634,102
'Horror',60000000,7.4,139804348,94
'Animation',3000000,6.2,268157400,96
'Drama',50000000,5.2,228738393,114
'Fantasy',54000000,6.1,516642939,115
'Adventure',85000000,7,39187783,100
'Adventure',155000000,6.4,362744280,125
'Drama',9000000,7.8,123726688,123
'Drama',36000000,6.8,244386864,98
'Fantasy',78000000,6.3,40423945,92
'Action',40000000,6.5,224834564,84
'Fantasy',50000000,7.9,3547209,156
'Action',84000000,5.5,361366633,92
'War',70000000,6,752600867,93
'Comedy',70000000,7,231411584,96
'Adventure',100000000,5.6,302469017,118
'Fantasy',135000000,7.5,178043761,134
'Drama',1000000,6.7,147298761,120
'Drama',14000000,6.7,473226958,89
'Action',100000000,6.2,211780824,95
'Action',50000000,6.5,93820758,122
'Drama',0,6.2,357852395,140
'Animation',80000000,6.5,369884651,119
'Drama',100000000,7.3,113020255,141
'Drama',116000000,6.5,242988466,90
'Fantasy',150000000,6.2,91353501,92
'Adventure',165000000,6.4,63372757,106
'Action',15000000,6.2,345141403,104
'Comedy',26000000,7.3,119723856,102
'Drama',53000000,5.5,197687603,114
'Adventure',140000000,6.7,321887208,95
'Crime',14000000,7.3,210819611,112
